Stations,Longitude,Latitude,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre
GON-BOUSSOUGO,-0.77,11.40,0,0,0,34.4,25.3,49.9,212.3,261.8,246,42.5,0,0
NOBERE,-1.204444,11.558056,0,0,0,65.8,79.9,64.5,236.3,308.5,223,57.2,8.7,0
OUAGADOUGOU A,-1.52,12.35,0,0,0,13.7,73.8,67.9,382.3,240.6,234.8,4.8,0,0.3
OUAHIGOUYA,-2.43,13.58,0,0,0,14.4,13.8,185.8,137.6,360,242.2,14.9,0,0
OUANGOLODOUGO,-4.80,10.08,0,13,39.5,70.2,107,84.4,189.4,219.2,153.5,76.6,0,0
PO,-1.15,11.17,0,0,39.5,70.2,67.7,73.6,202.6,274.1,262,47.8,0.5,0
SANGHA,0.159444,11.180556,0,4.5,39.5,30.6,81.6,115.6,295.1,281.4,144.5,119.5,10.3,0
SOUBAKANIEDOU,-5.02,10.48,0,0,39.5,102.6,163.7,66.9,178.5,251.2,148.2,105.9,25.3,0
TANGHIN DASSO,-1.72,12.27,0,0,39.5,67.2,61.7,46.9,241.1,221,199.1,0.5,0,2.1
TIOU-KOUDOUGO,-2.20,11.95,0,12.2,39.5,42.2,45,18.2,279.8,281.2,143.3,12.6,0,0
TIOU-OUAHIGOU,-2.67,13.82,0,0,39.5,5.4,25.9,142.4,155,261.3,191.7,35.8,0,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
